Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Units,[Age],[Reporting Type],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""807""","""North Macedonia""","""NUM_U5_M""","""<5Y""","""G""",,,,,,4.19028,,,,,,2.02133,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""15""","""Northern Africa""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,,,,,,,2410.70121
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""747""","""Northern Africa and Western Asia""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,,,,,,,3506.98807
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""543""","""Oceania (exc. Australia and New Zealand)""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,,,,,,,130.65323
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""512""","""Oman""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,19.52898,,,,,27.74648,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""586""","""Pakistan""","""NUM_U5_M""","""<5Y""","""G""",,2877.68396,,,,,,,,,,3444.29418,,2528.25022,,,,,1790.90478
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""591""","""Panama""","""NUM_U5_M""","""<5Y""","""G""",,,,5.74184,,,,,4.49316,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""598""","""Papua New Guinea""","""NUM_U5_M""","""<5Y""","""G""",,,,,,40.51463,,,,,138.19522,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""600""","""Paraguay""","""NUM_U5_M""","""<5Y""","""G""",,,,,,7.35941,,,,,,,17.80685,,,,6.46185,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""604""","""Peru""","""NUM_U5_M""","""<5Y""","""G""",34.41942,,,,,31.07016,,,23.21732,17.67736,20.77393,11.18695,19.24155,12.87798,18.1201,18.60076,18.37113,15.67954,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""608""","""Philippines""","""NUM_U5_M""","""<5Y""","""G""",,,,675.0366,,,,,769.75814,,,808.5534,,888.01435,,811.84552,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""410""","""Republic of Korea""","""NUM_U5_M""","""<5Y""","""G""",,,,24.16979,,,,,,,27.46528,,,,,,,,
